pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
8048,4,Soybeans,arkansas,35,2021-12-17,-90.30651261843035,34.09263708408305,544.0,872.0,1006.0,1477.0,1892.0,2058.0,2154.0,2236.0,2408.0,1632.0,1
8049,4,Soybeans,arkansas,35,2021-12-17,-91.40919462968706,33.10224448334128,508.5,630.0,852.0,1031.0,1101.5,1211.5,1279.0,1337.0,2018.5,1438.0,1
8050,4,Soybeans,arkansas,35,2021-12-17,-91.02561400336803,35.39339761548812,478.0,830.0,588.0,1374.0,2576.0,2913.0,3384.0,3065.0,2350.0,1435.0,1
8051,4,Soybeans,arkansas,35,2021-12-17,-90.43137844292296,34.90516325856916,677.0,915.0,1015.0,1499.0,2189.0,2371.0,2544.0,2564.0,2844.0,1977.0,1
8052,4,Soybeans,arkansas,35,2021-12-17,-91.16844613354303,35.43966085262027,665.5,921.0,1008.0,1509.5,2298.5,2598.5,2895.0,2818.0,2757.5,1784.5,1
8053,4,Soybeans,arkansas,35,2021-12-17,-90.80462844347463,36.250390396538144,785.0,995.0,1388.0,1581.0,1712.5,1851.0,2125.0,2075.5,3214.5,2370.0,1
8054,4,Soybeans,arkansas,35,2021-12-17,-90.93129089853548,33.33445898428617,490.5,639.0,823.0,938.0,1049.0,1142.0,1222.0,1248.0,1557.5,956.5,1
8055,4,Soybeans,arkansas,35,2021-12-17,-90.55759174034176,33.2459749288004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8056,4,Soybeans,arkansas,35,2021-12-17,-90.99147802257148,34.15057841990876,556.0,739.0,850.0,1153.0,1786.0,1933.0,2070.0,2073.0,2269.0,1546.0,1
8057,4,Soybeans,arkansas,35,2021-12-17,-90.83831526662911,34.705737265494626,267.0,431.0,496.0,972.0,1448.0,1665.0,1316.0,1895.0,1975.0,1275.0,1
8058,4,Soybeans,arkansas,35,2021-12-17,-91.39167748164674,34.26196951513958,798.0,1017.0,1235.0,1589.0,1856.0,2023.5,2249.0,2284.5,3149.0,2307.5,1
8059,4,Soybeans,arkansas,35,2021-12-17,-91.43524577292654,33.06047282262972,694.0,970.0,1243.0,1498.0,1749.5,1922.5,2175.0,2054.0,2314.5,1489.5,1
8060,4,Soybeans,arkansas,35,2021-12-17,-90.56657489318295,34.08589971945216,303.0,424.0,624.0,711.0,753.0,883.0,960.0,974.0,1235.0,729.0,1
8061,4,Soybeans,arkansas,35,2021-12-17,-90.4646161084354,36.11923636505669,508.0,769.0,700.0,1286.0,2160.0,2463.0,2658.0,2649.0,2244.0,1340.0,1
8062,4,Soybeans,arkansas,35,2021-12-17,-89.68398012653552,35.677714402911946,665.0,934.0,888.0,1577.0,2719.5,3056.5,3280.0,3234.5,2910.5,1855.5,1
8063,4,Soybeans,arkansas,35,2021-12-17,-90.39679330448436,33.43507029610756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8064,4,Soybeans,arkansas,35,2021-12-17,-93.07601863937083,35.13513197130376,491.0,328.0,272.0,281.0,260.0,313.0,354.0,316.0,416.0,273.0,1
8065,4,Soybeans,arkansas,35,2021-12-17,-90.34469101800543,34.22558774613274,265.0,368.5,566.0,778.5,995.0,1165.0,1418.0,1465.0,1799.5,1108.5,1
8066,4,Soybeans,arkansas,35,2021-12-17,-90.43811580755386,33.782269153419755,152.0,134.0,208.0,259.0,297.0,339.0,370.0,381.0,432.0,236.0,1
8067,4,Soybeans,arkansas,35,2021-12-17,-91.06513987586929,34.799611212685114,688.0,986.0,949.0,1490.0,2328.0,2562.0,2658.0,2720.0,2913.0,1936.0,1
8068,4,Soybeans,arkansas,35,2021-12-17,-90.65775389452108,34.040983955246176,375.0,522.0,666.0,801.0,851.0,936.0,1064.0,1091.0,1306.0,743.0,1
8069,4,Soybeans,arkansas,35,2021-12-17,-90.2993260961574,34.009542920301996,524.0,756.0,1074.0,1387.0,1485.0,1666.0,1798.0,1868.0,2382.0,1693.0,1
