pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
9148,4,Almonds,california,16,2021-06-10,-120.08611344463455,36.249492081254026,384.0,695.0,513.5,1070.0,3247.0,3966.5,4062.0,4191.0,1834.0,1030.0,1
9149,4,Almonds,california,16,2021-06-10,-120.42567662203173,36.84732090283556,816.5,1078.0,1176.0,1406.0,2405.5,2786.0,3032.0,2908.5,2462.5,1854.5,1
9150,4,Almonds,california,16,2021-06-10,-119.488284623053,36.27239912099907,719.5,1048.0,1113.0,1547.5,2232.0,2447.5,2620.0,2747.5,2821.5,2093.5,1
9151,4,Almonds,california,16,2021-06-10,-119.96034930485781,36.56569906126409,2061.0,2825.0,4096.0,4660.0,4810.0,5046.0,5320.0,5457.5,5505.5,4170.5,1
9152,4,Almonds,california,16,2021-06-10,-120.25140345691254,36.946135584088715,1579.0,1939.0,2563.0,2726.5,2803.0,3035.5,3362.0,3271.0,4374.0,3703.0,1
9153,4,Almonds,california,16,2021-06-10,-120.49439774126687,37.46805676416216,255.0,572.5,363.5,979.0,2752.5,3257.5,3406.0,3482.5,1810.0,1007.0,1
9154,4,Almonds,california,16,2021-06-10,-120.608034624708,37.51342168601019,388.5,727.5,675.0,1267.5,2691.5,3127.0,3357.0,3403.5,2222.5,1269.5,1
9155,4,Almonds,california,16,2021-06-10,-122.22769708197549,39.32891687521574,332.0,587.0,505.0,1522.0,2549.0,2912.0,2798.0,3092.0,2928.0,2391.0,1
9156,4,Almonds,california,16,2021-06-10,-121.80863300193373,38.51279743959316,370.0,652.5,525.0,1112.0,2246.0,2570.0,2803.0,2759.0,1963.0,1185.0,1
9157,4,Almonds,california,16,2021-06-10,-121.30916970396328,37.677364225362005,914.0,1330.0,1611.0,2415.0,2773.0,2992.0,2904.0,3149.5,3927.5,3624.5,1
9158,4,Almonds,california,16,2021-06-10,-120.04254515335475,36.51045267129074,522.0,837.0,747.0,1364.0,2802.0,3226.5,3528.0,3479.5,2364.0,1488.5,1
