pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,slope,aspect,clay,sand,org_carbon,ph,month,temp,precip
9599,5,Pistachios,california,13,2021-05-11,-119.89432313147503,35.902742381583884,414.0,606.0,526.5,944.5,2522.0,3029.0,3210.0,3220.5,1499.0,895.0,1,148.0,0.92740995,-0.0,29.0,38.0,3.0,74.0,5,296.360813448506,0.00044201173150071327
9600,5,Pistachios,california,13,2021-05-11,-120.60848378235004,37.14107000074265,1192.0,1678.0,2067.0,2770.5,3668.5,4032.5,4418.0,4513.5,3336.5,2223.0,1,54.0,1.1548308,90.0,39.0,26.0,2.0,76.0,5,296.67590448933265,0.00015616275631913368
9601,5,Pistachios,california,13,2021-05-11,-119.01083004954349,35.139623547724355,1081.0,1347.0,1701.0,1891.0,2027.0,2197.5,2372.0,2450.5,4144.0,4015.0,1,60.0,0.0,-0.0,30.0,40.0,2.0,75.0,5,298.32750269161755,0.0002099708493901176
9602,5,Pistachios,california,13,2021-05-11,-119.68546482791724,35.67367198413341,1191.0,1731.0,2122.0,2460.0,2884.0,3117.0,3258.0,3263.5,3973.5,3543.5,1,52.0,2.3180554,90.0,30.0,34.0,2.0,79.0,5,294.66441675411755,0.00019013740384110636
9603,5,Pistachios,california,13,2021-05-11,-119.50984418987188,36.56569906126409,875.0,1230.0,1296.0,2348.5,3162.0,3470.0,3442.0,3665.0,3664.0,3235.0,1,98.0,0.92740995,-0.0,24.0,40.0,2.0,75.0,5,295.6011187030423,8.89436181736869e-05
9604,5,Pistachios,california,13,2021-05-11,-120.17100423898384,36.691014043398766,1452.0,1878.0,2314.0,2588.5,3574.0,3992.0,4220.0,4242.0,3639.0,2782.5,1,129.0,1.1423117,90.0,29.0,37.0,4.0,73.0,5,296.360813448506,0.00044201173150071327
9605,5,Pistachios,california,13,2021-05-11,-119.59698077243146,35.59956097319355,860.5,1057.0,1306.0,1395.5,1486.0,1600.0,1737.0,1783.5,3632.0,3429.0,1,74.0,0.0,-0.0,21.0,40.0,2.0,76.0,5,296.8533290945074,3.996350132950965e-05
9606,5,Pistachios,california,13,2021-05-11,-119.77619467161333,36.47496921756802,964.5,1225.0,1410.0,1885.0,2807.0,3297.5,3494.0,3584.0,3444.0,2751.0,1,89.0,3.5302334,285.21225,35.0,37.0,2.0,76.0,5,297.45833056460145,0.0006463066514683646
9607,5,Pistachios,california,13,2021-05-11,-119.09617000153484,35.14142017829259,1224.0,1557.0,1857.0,2144.5,2502.0,2723.5,2854.0,2955.5,4018.5,3642.0,1,60.0,0.92740995,-0.0,37.0,28.0,2.0,75.0,5,297.2294106637278,0.0005347267564488334
9608,5,Pistachios,california,13,2021-05-11,-119.4950219876839,35.4405591679044,791.0,1011.5,1204.0,1588.5,2218.0,2497.5,2651.0,2772.5,3402.5,3055.0,1,91.0,1.1511688,270.0,22.0,46.0,2.0,78.0,5,297.2192775152063,5.805351101884071e-05
9609,5,Pistachios,california,13,2021-05-11,-119.38183426188483,36.10890573928932,1417.0,1669.0,2091.0,2113.0,2244.0,2409.5,2895.0,2756.5,4417.5,3893.5,1,100.0,2.1738536,31.470896,18.0,48.0,2.0,79.0,5,295.8151906536472,0.00012735881173142616
9610,5,Pistachios,california,13,2021-05-11,-119.87815345636088,35.73026584703294,415.5,652.0,549.0,1080.0,2720.5,3229.0,3382.0,3435.5,1687.5,966.5,1,63.0,0.0,-0.0,19.0,47.0,1.0,78.0,5,297.5819497262278,9.721376263627236e-05
9611,5,Pistachios,california,13,2021-05-11,-119.85210231312142,35.7374523693059,456.0,661.0,626.0,1108.0,2840.0,3465.5,3638.0,3737.5,1817.5,1037.0,1,19.0,1.5074782,127.96049,29.0,33.0,2.0,74.0,5,295.8652998606364,5.984165036210243e-05
9612,5,Pistachios,california,13,2021-05-11,-119.75463510479445,35.572611514669966,343.5,573.0,440.0,949.0,2787.5,3456.0,3684.0,3691.5,1574.5,843.0,1,228.0,0.92740995,-0.0,28.0,43.0,2.0,77.0,5,297.08418636937296,0.0006613270219517631
9613,5,Pistachios,california,13,2021-05-11,-120.22265736782072,36.08689701482839,838.0,1193.0,1472.0,1940.5,3064.5,3567.5,3780.0,3875.5,3104.0,2238.0,1,153.0,0.92740995,-0.0,25.0,42.0,3.0,77.0,5,296.7976755326794,0.0005414322789860648
9614,5,Pistachios,california,13,2021-05-11,-119.36386795620244,35.36330405347012,362.5,580.5,535.5,977.0,2514.0,3066.0,3234.0,3357.0,1757.0,1049.0,1,76.0,2.1819046,31.814932,17.0,48.0,2.0,77.0,5,298.05146365011893,6.463982426652137e-05
9615,5,Pistachios,california,13,2021-05-11,-119.87545851050852,36.02401494494002,1262.0,1459.0,1669.0,1790.5,1808.0,1907.5,2056.0,2039.0,3237.0,3093.5,1,174.0,3.8850849,241.52792,25.0,39.0,2.0,77.0,5,296.9723384611068,0.0002208039935780448
9616,5,Pistachios,california,13,2021-05-11,-119.961696777784,36.92367770198573,943.5,1414.0,1909.0,2359.5,3041.5,3371.0,3478.0,3524.0,3478.5,3008.5,1,125.0,2.4797628,68.05042,27.0,40.0,3.0,78.0,5,297.03010003284743,0.00041180707776078407
9617,5,Pistachios,california,13,2021-05-11,-120.3232686796421,36.15966055284207,646.0,968.0,1062.0,1531.0,2807.0,3295.0,3462.0,3495.0,2357.5,1715.0,1,224.0,3.0016077,202.1582,25.0,43.0,3.0,76.0,5,295.40633386181247,0.000658793824548809
9618,5,Pistachios,california,13,2021-05-11,-120.1692076084156,36.51135098657486,633.0,925.5,1025.0,1420.5,2562.5,2992.5,3086.0,3156.0,2145.5,1546.5,1,163.0,2.1763961,328.41983,24.0,43.0,2.0,80.0,5,296.561977448002,0.000322608726854412
9619,5,Pistachios,california,13,2021-05-11,-120.08252018349808,36.586360312798845,821.5,1151.0,1260.0,1728.0,2874.0,3305.5,3584.0,3610.5,3079.5,2334.5,1,71.0,0.92740995,180.0,21.0,46.0,2.0,78.0,5,297.70154450529367,0.00031699098908433143
9620,5,Pistachios,california,13,2021-05-11,-119.2605616985287,35.1737595285209,894.5,1099.0,1338.0,1485.5,1592.0,1698.5,1813.0,1857.5,2906.0,2843.0,1,61.0,0.92740995,-0.0,31.0,33.0,2.0,75.0,5,297.4322600210867,0.0007264301952076835
9621,5,Pistachios,california,13,2021-05-11,-119.3521898575089,35.47559346398506,1426.0,2000.0,2596.0,2914.5,3007.5,3141.0,3200.0,3257.0,4414.0,4047.0,1,215.0,2.1769495,328.39612,28.0,38.0,4.0,76.0,5,294.6556618188017,0.0003627673562718314
9622,5,Pistachios,california,13,2021-05-11,-120.41804094211672,36.54189370623493,920.0,1323.0,1433.0,1943.0,3127.5,3621.5,3814.0,3848.0,2824.5,2051.0,1,69.0,2.3126867,90.0,32.0,37.0,2.0,77.0,5,295.6170823497157,0.00011135496460923378
9623,5,Pistachios,california,13,2021-05-11,-119.85883967775231,35.6826551369746,830.0,1147.0,1637.0,1743.0,3130.0,3685.0,4034.0,3989.0,2244.5,1334.5,1,72.0,3.5502913,105.124016,21.0,46.0,2.0,78.0,5,297.6941599076794,0.00015996255242356483
9624,5,Pistachios,california,13,2021-05-11,-120.56626296399644,37.179248400317725,485.5,773.0,873.0,1240.0,2526.5,3032.0,3326.0,3354.5,2369.5,1595.0,1,91.0,1.4649193,129.27155,26.0,39.0,1.0,77.0,5,296.4007370036136,0.0002406523402882499
9625,5,Pistachios,california,13,2021-05-11,-119.23810381642572,35.99257390999584,1278.0,1729.0,2177.0,2617.5,3258.5,3586.5,3726.0,3886.5,4424.0,3699.5,1,107.0,2.3214602,270.0,21.0,44.0,2.0,77.0,5,296.07689102747105,6.019927823075477e-05
9626,5,Pistachios,california,13,2021-05-11,-119.51343745100836,35.6938840780261,956.0,1278.0,1606.0,2088.0,2908.5,3268.0,3534.0,3628.0,3114.0,1953.5,1,86.0,1.4706439,129.08934,22.0,43.0,2.0,78.0,5,297.9196985921552,0.00025436140858658973
9627,5,Pistachios,california,13,2021-05-11,-120.73155297627444,37.394844068506416,1136.0,1577.0,2192.0,2466.5,2523.5,2710.0,3027.0,2898.0,3286.0,2815.5,1,74.0,0.92740995,-0.0,21.0,47.0,1.0,79.0,5,297.19851768657725,0.00036731221043595497
9628,5,Pistachios,california,13,2021-05-11,-119.84401747556434,36.24544966247549,697.0,870.0,954.5,1246.5,2046.0,2418.5,2530.0,2644.0,2653.5,2135.0,1,111.0,1.1423197,270.0,27.0,38.0,2.0,77.0,5,297.1721872514294,0.00014667071663865272
9629,5,Pistachios,california,13,2021-05-11,-119.58979425015852,35.63190032342185,530.5,752.0,870.0,1262.5,2538.0,3088.0,3316.0,3384.0,2564.5,1789.5,1,101.0,1.8543341,180.0,24.0,42.0,2.0,80.0,5,296.9000885871149,0.0003951326783848685
9630,5,Pistachios,california,13,2021-05-11,-119.30907072387116,35.82234316365519,497.0,719.5,750.0,1128.5,2527.0,3064.0,3280.0,3380.5,2089.5,1271.0,1,102.0,0.92740995,-0.0,31.0,42.0,6.0,71.0,5,297.51976212122105,0.00027690686547288124
9631,5,Pistachios,california,13,2021-05-11,-119.10290736616574,35.71185038370849,299.0,506.5,429.0,1047.0,2543.0,3118.0,3334.0,3415.5,2029.0,1304.0,1,63.0,0.92740995,180.0,30.0,33.0,2.0,78.0,5,294.66441675411755,0.00019013740384110636
9632,5,Pistachios,california,13,2021-05-11,-120.3021582704653,36.38918010793461,1266.0,1805.0,2232.0,2466.5,2505.0,2601.5,2632.0,2651.5,3567.0,3245.5,1,92.0,0.92740995,180.0,21.0,41.0,2.0,77.0,5,297.2192775152063,5.805351101884071e-05
9633,5,Pistachios,california,13,2021-05-11,-120.04838420270153,36.49113889268217,718.5,838.0,903.0,1123.0,1658.5,1871.5,2011.0,2006.0,2011.0,1682.5,1,65.0,1.8543341,180.0,24.0,47.0,1.0,79.0,5,297.9076438206498,0.00038553633057603065
9634,5,Pistachios,california,13,2021-05-11,-119.76586404584594,35.566323307681124,461.0,666.0,592.5,1078.5,2741.0,3350.0,3494.0,3603.0,1646.0,905.0,1,73.0,1.4779303,51.13986,30.0,34.0,2.0,79.0,5,297.4654237685665,0.0006051645454121513
9635,5,Pistachios,california,13,2021-05-11,-119.38722415358956,35.8111142226037,543.0,736.0,791.0,1184.0,2222.5,2649.0,2858.0,2934.5,2530.0,1731.5,1,82.0,1.4732211,50.99207,29.0,39.0,2.0,71.0,5,297.4380800185665,0.000517158287401287
9636,5,Pistachios,california,13,2021-05-11,-119.94867120616426,35.61528149066564,566.0,802.5,936.0,1387.0,2880.0,3387.0,3502.0,3636.5,2226.5,1471.5,1,28.0,0.0,-0.0,28.0,35.0,2.0,75.0,5,295.7891962400047,7.441498600968544e-05
9637,5,Pistachios,california,13,2021-05-11,-120.06365556253157,36.3815444280196,1266.0,1737.0,2116.0,2299.5,2464.0,2612.5,2705.0,2659.5,3208.0,2897.5,1,55.0,2.183992,31.903173,19.0,46.0,2.0,77.0,5,296.6518947027063,0.00018347658478745643
9638,5,Pistachios,california,13,2021-05-11,-120.50517752467633,36.74131969930946,743.0,1086.0,1200.0,1523.5,2400.5,2754.5,2952.0,2906.0,2383.5,1854.5,1,87.0,2.2672107,90.0,34.0,31.0,3.0,78.0,5,296.2065900782103,5.762137734421913e-05
9639,5,Pistachios,california,13,2021-05-11,-120.46295670632269,36.993297136504985,788.0,1017.5,1306.0,1722.0,2430.0,2783.5,3059.0,3148.0,3186.5,2379.5,1,74.0,1.4706655,129.08865,22.0,40.0,1.0,81.0,5,297.19851768657725,0.00036731221043595497
